epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3371.77,1.99337,1.3397,1.40206,0.67119,0.45812,0.47963,0.20818,2.07127,1.3202,1.36219,0.0011882,0.0011882,0.0011882
43,3440.69,1.98978,1.31875,1.39123,0.66808,0.46126,0.48549,0.19895,2.13081,1.29136,1.38427,0.0011684,0.0011684,0.0011684
44,3496.68,1.98585,1.32172,1.39436,0.67312,0.45356,0.48062,0.20541,2.07863,1.32351,1.36299,0.0011486,0.0011486,0.0011486
45,3556.15,1.98725,1.32243,1.39039,0.66964,0.47031,0.49125,0.20945,2.07852,1.27985,1.35559,0.0011288,0.0011288,0.0011288
46,3704.49,1.98683,1.31149,1.38351,0.66308,0.44997,0.47435,0.20678,2.06221,1.316,1.35112,0.001109,0.001109,0.001109
47,3772.07,1.98292,1.31421,1.38536,0.67481,0.46403,0.48621,0.21332,2.04133,1.2852,1.3404,0.0010892,0.0010892,0.0010892
48,3858.13,1.98089,1.30843,1.38532,0.67485,0.4717,0.49049,0.21905,2.01922,1.27474,1.33108,0.0010694,0.0010694,0.0010694
49,3917.11,1.97633,1.3155,1.38596,0.6812,0.47091,0.49698,0.21937,2.03899,1.2668,1.34244,0.0010496,0.0010496,0.0010496
50,3976.91,1.99292,1.32309,1.39111,0.67876,0.47166,0.49517,0.21054,2.07699,1.27365,1.35131,0.0010298,0.0010298,0.0010298
51,4036.7,1.9576,1.28525,1.37616,0.6769,0.47166,0.49326,0.20672,2.12757,1.27927,1.37856,0.00101,0.00101,0.00101
52,4115.7,1.98627,1.29703,1.37781,0.67164,0.47009,0.49313,0.20998,2.07836,1.27196,1.35748,0.0009902,0.0009902,0.0009902
53,4174.89,1.9612,1.29151,1.37559,0.68091,0.47614,0.50139,0.21236,2.08531,1.26121,1.36133,0.0009704,0.0009704,0.0009704
54,4243.17,1.97235,1.28468,1.37714,0.68037,0.47809,0.50048,0.22018,2.02982,1.25692,1.33351,0.0009506,0.0009506,0.0009506
55,4301.03,1.95565,1.27963,1.38182,0.68667,0.46395,0.49313,0.2238,1.98852,1.27622,1.31098,0.0009308,0.0009308,0.0009308
56,4374.54,1.9676,1.2936,1.37383,0.68106,0.47958,0.50184,0.2245,2.02203,1.24572,1.33255,0.000911,0.000911,0.000911
57,4447.11,1.9774,1.2945,1.38455,0.68516,0.47151,0.49942,0.2212,2.00943,1.24601,1.32658,0.0008912,0.0008912,0.0008912
58,4533.5,1.94253,1.27169,1.37191,0.67418,0.48699,0.50567,0.21796,2.05478,1.24058,1.34513,0.0008714,0.0008714,0.0008714
59,4630.33,1.95634,1.26838,1.37263,0.68507,0.48183,0.50709,0.22651,2.02226,1.23454,1.33299,0.0008516,0.0008516,0.0008516
60,4684.23,1.95045,1.27601,1.37513,0.67402,0.46697,0.49387,0.22377,2.00162,1.26766,1.31556,0.0008318,0.0008318,0.0008318
61,4740.55,1.96141,1.27509,1.37259,0.67852,0.48138,0.50405,0.22735,2.01332,1.22798,1.32074,0.000812,0.000812,0.000812
