epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,193.21,0.74272,0.82072,1,0.51172,0.00998382,0.00332794,0.00998382,0.00332794,0.00998382,0.00332794,0.00998382,0.00332794
2,386.999,0.5416,0.84383,1,0.44767,0.0195881,0.00652938,0.0195881,0.00652938,0.0195881,0.00652938,0.0195881,0.00652938
3,573.437,0.50105,0.81988,1,0.52394,0.0287965,0.00959882,0.0287965,0.00959882,0.0287965,0.00959882,0.0287965,0.00959882
4,759.888,0.50122,0.83627,1,0.47279,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,946.137,0.48253,0.85641,1,0.39706,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1132.33,0.47448,0.83398,1,0.46644,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1318.43,0.46907,0.8716,1,0.36987,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1504.67,0.46719,0.87083,1,0.37913,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1690.79,0.46528,0.85861,1,0.39039,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1879.96,0.45985,0.85256,1,0.40451,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2069.42,0.46021,0.87342,1,0.36182,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2258.98,0.45771,0.87849,1,0.35469,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2448.67,0.45499,0.87492,1,0.35504,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2634.79,0.45156,0.87017,1,0.36881,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2824.42,0.44761,0.8761,1,0.35241,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3014.91,0.44686,0.87177,1,0.36495,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3201.32,0.44485,0.86957,1,0.36424,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3387.65,0.43898,0.87419,1,0.35506,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3577.2,0.43728,0.87272,1,0.35592,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3770.16,0.43109,0.87509,1,0.35246,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3956.48,0.43096,0.87483,1,0.35181,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4142.83,0.42874,0.87304,1,0.35429,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4329.07,0.42538,0.87483,1,0.35294,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4515.17,0.42366,0.87471,1,0.354,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4701.46,0.42115,0.87515,1,0.35374,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4887.82,0.41817,0.87509,1,0.3556,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5074.04,0.41313,0.87496,1,0.35371,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
